STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|CITY|STATE
TMW_1516|#1516Pinnacle At Turkey Creek|TMW|TMW_S|TMW_S1|TMW_S105|Brick & Mortar|Open|Knoxville|TN
TMW_3119|#3119Ashley Park|TMW|TMW_S|TMW_S4|TMW_S406|Brick & Mortar|Open|Newnan|GA
TMW_1222|#1222Barton Creek Square|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|Austin|TX
TMW_3516|#3516 Pikesville|TMW|TMW_N|TMW_N2|TMW_N201|Brick & Mortar|Open|Pikesville|MD
TMW_4110|#4110 Arbor Lakes|TMW|TMW_W|TMW_W4|TMW_W402|Brick & Mortar|Open|Maple Grove|MN
TMW_1311|#1311 Colorado Springs, Co|TMW|TMW_W|TMW_W2|TMW_W204|Brick & Mortar|Open|Colorado Springs|CO
TMW_2685|#2685 Tacoma|TMW|TMW_W|TMW_W3|TMW_W305|Brick & Mortar|Open|Tacoma|WA
TMW_1533|#1533Scottsdale Center|TMW|TMW_W|TMW_W2|TMW_W203|Brick & Mortar|Open|Rogers|AR
TMW_5214|#5214 Reading, Pa|TMW|TMW_N|TMW_N2|TMW_N202|Brick & Mortar|Open|Reading|PA
TMW_2701|#2701Sher Lane Shopping Center|TMW|TMW_W|TMW_W1|TMW_W104|Brick & Mortar|Open|Huntington Beach|CA
TMW_3528|#3528 Charleston, Wv|TMW|TMW_S|TMW_S3|TMW_S303|Brick & Mortar|Open|Charleston|WV
TMW_1705|#1705 Fairview Heights, Il|TMW|TMW_S|TMW_S3|TMW_S304|Brick & Mortar|Open|Fairview Heights|IL
TMW_5220|#5220Capital City|TMW|TMW_N|TMW_N2|TMW_N202|Brick & Mortar|Open|Camp Hill|PA
TMW_1230|#1230Winrock Town Center|TMW|TMW_W|TMW_W2|TMW_W204|Brick & Mortar|Open|Albuquerque|NM
TMW_1101|#1101Briarcroft Shopping Center|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|Houston|TX
